Year,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)",Population ages 65 and above (% of total population),CO2 emissions (metric tons per capita)
1969,Latin America & Caribbean,LCN,,5.320315346,59.99482876,,3.897865027,1.712493396
1969,Middle East & North Africa,MEA,,6.790713709,52.14787288,,3.724053021,2.251860328
1969,North America,NAC,,2.444224512,70.69476442,,9.749526426,19.36723929
1969,Sub-Saharan Africa,SSF,,6.726978887,44.09532078,,3.008888039,0.726346253
1969,World,WLD,,4.855976292,57.99199928,,5.262624896,3.875169073
1970,Australia,AUS,,2.859,71.01853659,21.5,8.243892731,11.80289054
1970,Caribbean small states,CSS,,4.863466512,65.64881537,,4.84228329,4.283398768
1970,Central African Republic,CAF,,5.958,42.223,223.3,4.693773659,0.11540634
1970,Central Europe and the Baltics,CEB,,2.288901388,69.44695506,,9.44615038,8.350394198
1970,East Asia & Pacific,EAS,,5.266683528,59.73092969,,3.996988188,1.59326071
1970,Europe & Central Asia,ECS,,2.562601009,68.96923633,,9.879949192,10.61122113
1970,Latin America & Caribbean,LCN,,5.213539573,60.4354476,,3.928608666,1.843995713
1970,Middle East & North Africa,MEA,,6.734328637,52.73254362,,3.721742802,2.330219872
1970,North America,NAC,,2.458482587,70.9854796,,9.859736704,20.63304563
1970,Sub-Saharan Africa,SSF,,6.74342617,44.50798609,,2.993765527,0.780389068
1970,World,WLD,,4.778572494,58.57975803,,5.301562489,4.147851485
1971,Australia,AUS,,2.961,71.06829268,21,8.345744649,11.80911757
1971,Caribbean small states,CSS,,4.726027946,65.88038941,,4.924094515,5.059526098
1971,Central African Republic,CAF,,5.956,43.036,218.1,4.695254271,0.099618748
1971,Central Europe and the Baltics,CEB,,2.259077215,69.48516575,,9.690592138,8.560477886
1971,East Asia & Pacific,EAS,,5.052299979,60.6565772,,4.061500261,1.695558532
1971,Europe & Central Asia,ECS,,2.542864651,69.105678,,10.08570922,10.97774628
1971,Latin America & Caribbean,LCN,,5.105315188,60.88113985,,3.973494355,1.887235076
1971,Middle East & North Africa,MEA,,6.673128902,53.35716123,,3.740724804,2.551866577
1971,North America,NAC,,2.253659775,71.2911399,,9.999730639,20.51119886
1971,Sub-Saharan Africa,SSF,,6.759171424,44.92787966,,3.009548715,0.874866188
1971,World,WLD,,4.669268331,59.11045886,,5.368716701,4.23178829
1972,Australia,AUS,,2.744,71.45756098,20.3,8.441925131,11.95163155
1972,Caribbean small states,CSS,,4.582064827,66.1188858,,4.999983922,5.103337988
1972,Central African Republic,CAF,,5.951,43.866,213.2,4.686467693,0.090311203
1972,Central Europe and the Baltics,CEB,,2.233753302,69.92544126,,9.933684827,8.874687268
1972,East Asia & Pacific,EAS,,4.78764859,61.44844569,,4.119547914,1.743842621
1972,Europe & Central Asia,ECS,,2.479816676,69.30979424,,10.27321686,11.3960301
1972,Latin America & Caribbean,LCN,,4.997856829,61.32734064,,4.012555908,1.929528782
1972,Middle East & North Africa,MEA,,6.611542219,53.99671085,,3.755112895,2.670462292
1972,North America,NAC,,2.007030467,71.32627262,,10.1286757,21.31108396
1972,Sub-Saharan Africa,SSF,,6.773759686,45.35142907,,3.017748922,0.898086219
